key,القيمة
site_name,Ad House Admin Panel
sidebar_label,Ad House Admin
slogan,صحيفة هي أكبر كنز للشعب من ملايين لا تحصى من الذهب
title_bar_seperator,|
hello,مرحبا! أنا من ملف اللغة
added_date,تاريخ
upload_point_label,تحميل نقطة
success_item_report,تمت إضافة الإبلاغ عن صنف بنجاح
profile_img,صورة البروفيل
signin,تسجيل الدخول
check_for_detail,التحقق من وجود مزيد من التفاصيل!
success_delete,تم الحذف بنجاح
success_save_contact,شكرا لإتصالك بنا. سنصل إليك قريبا.
success_contact_delete,تم حذف الاتصال الرسالة بنجاح
btn_search,بحث
btn_add_new,اضف جديد
btn_edit,تعديل
btn_save,حفظ
btn_save_gallery,حفظ والعودة إلى معرض الصور
btn_cancel,إلغاء
btn_yes,نعم
btn_delete,حذف
btn_publish,ينشر
btn_replace_photo,استبدال صور
btn_replace_icon,استبدال أيقونة
back_button,عودة
lbl_view,رأي
chat_history_save_success,تم إضافة التاريخ دردشة بنجاح
chat_history_update_success,تم تحديث التاريخ دردشة بنجاح
btn_version,الإصدار
ver_info,معلومات الإصدار
ver_no_label,نسخة لا
ver_msg_label,نسخة رسالة
ver_title_label,صفحة عنوان
ver_force_update,تحديث قوة اصدار جديد؟
ver_need_data,نسخة حاجة واضحة البيانات؟
success_version_add,تمت إضافة نسخة بنجاح
success_version_edit,تم تحديث النسخة بنجاح
dashboard,لوحة القيادة
no,لا
del_cover_photo,حذف صورة الغلاف
youtube_url,يوتيوب URL
del_icon_label,أيقونة الحذف
del_icon_confirm,هل أنت متأكد أنك تريد حذف رمز؟
success_upload,تم تحميل الصورة بنجاح
success_img_delete,تم حذف الصورة بنجاح
error_login,البريد الإلكتروني وكلمة المرور لا يتطابقان
err_access,عذرا، لا يوجد لديك الوصول إلى اتخاذ هذا الإجراء
err_model,حدث خطأ في قاعدة البيانات
err_sys,حدث خطأ في النظام
err_upload,حدث خطأ تحميل
wrn_no_data,لا توجد بيانات حتى الآن
del_cover_photo_confirm,هل أنت متأكد أنك تريد حذف الصورة؟
upload_photo,حمل الصورة
no_record,لا مزيد من السجلات
invalid_api_key,API مفتاح غير صالح
invalid_user_id,هوية مستخدم غير صالحه
invalid_item_id,رقم السلعة غير صالح
role,وظيفة
user_name,اسم المستخدم
user_email,البريد الإلكتروني
user_password,كلمه السر
conf_password,تأكيد كلمة المرور
user_phone,هاتف
allowed_modules,وحدات سمح
user_ban,المنع
user_unban,رفع الحظر
user_info,معلومات المستخدم
user_list,قائمة المستخدمين
user_add,إضافة مستخدم جديد
user_edit,تحرير العضو
user_search,البحث العضو
