,value
site_name,Ad House Admin Panel
sidebar_label,Ad House Admin
slogan,The newspaper is a greater treasure to the people than uncounted millions of gold
title_bar_seperator,|
hello,Hello! I am from language file
added_date,Date
upload_point_label,Upload Point
success_item_report,Item Report has been successfully added
profile_img,Profile Image
signin,Sign In
check_for_detail,Check for more detail!
success_delete,Successfully Deleted
success_save_contact,Thanks for contacting us. We will reach back to you soon.
success_contact_delete,Contact Message has been successfully deleted
btn_search,Search
btn_add_new,Add New
btn_edit,Edit
btn_save,Save
btn_save_gallery,Save and Go to Gallery
btn_cancel,Cancel
btn_yes,Yes
btn_delete,Delete
btn_publish,Publish
btn_replace_photo,Replace Photo
btn_replace_icon,Replace Icon
back_button,Back
lbl_view,View
chat_history_save_success,Chat history has been successfully added
chat_history_update_success,Chat history has been successfully Updated
btn_version,Version
ver_info,Version Information
ver_no_label,Version No
ver_msg_label,Version Message
ver_title_label,Version Title
ver_force_update,Version Force Update?
ver_need_data,Version Need Clear Data?
success_version_add,Version has been successfully added
success_version_edit,Version has been successfully updated
dashboard,Dashboard
no,No
del_cover_photo,Delete Cover Photo
youtube_url,Youtube URL
del_icon_label,Delete Icon
del_icon_confirm,Are you sure you want to delete the icon?
success_upload,Image has been successfully uploaded
success_img_delete,Image has been successfully deleted
error_login,Email and Password do not match
err_access,"Sorry, you have no access to take this action"
err_model,Database error occured
err_sys,System error occured
err_upload,Upload error occured
wrn_no_data,There is no data yet
del_cover_photo_confirm,Are you sure you want to delete the photo?
upload_photo,Upload photo
no_record,No more records
invalid_api_key,API Key is invalid
invalid_user_id,Invalid User Id
invalid_item_id,Invalid Item Id
role,Role
user_name,User Name
user_email,Email
user_password,Password
conf_password,Confirm Password
user_phone,Phone
allowed_modules,Allowed Modules
user_ban,Ban
user_unban,Unban
user_info,User Information
user_list,Users List
user_add,Add New User
user_edit,Edit User
user_search,Search User
err_dup_email,Email Address is already existed in the system
err_dup_name,Name is already existed in the system
err_user_name_blank,Please provide username
err_user_name_len,The length of the username must be greater than 4
err_user_email_blank,Please provide email address
err_user_email_invalid,Please provide valid email address
err_user_email_exist,Email Address is already existed in the system
err_user_pass_blank,Please provide password
err_user_pass_len,The length of the password must be greater than 4
err_user_pass_conf_blank,Please provide confirm password
err_user_pass_conf_not_match,Password and confirm password do not match
err_permission_blank,Please select which modules are able to access
success_user_add,User has been successfully added
success_user_edit,User has been succesfully updated
err_user_banned,"Sorry, you cannot login because your account is banned."
cat_info,Category Information
cat_name,Category Name
cat_ordering,Category Order
cat_img,Category Cover Photo
cat_icon,Category Icon
cat_search,Search Category
cat_select,Select Category Name
cat_add,Add Category
cat_edit,Edit Category
